#pos.x,pos.y,pos.z
-6.964010798704083349e-01,-1.800719870411107704e-01,6.599999999999999645e+00
-6.856172717077325673e-01,-6.057558542216122388e-02,6.599999999999999645e+00
-6.676873855762429644e-01,5.805914685164843825e-02,6.599999999999999645e+00
-6.426759497040593905e-01,1.754052528542692779e-01,6.599999999999999645e+00
-6.106729782512122506e-01,2.910404133226792700e-01,6.599999999999999645e+00
-5.717936473558700161e-01,4.045484665501801191e-01,6.599999999999999645e+00
-5.261778806246169005e-01,5.155209061191405873e-01,6.599999999999999645e+00
-4.739898455585687675e-01,6.235583510829660892e-01,6.599999999999999645e+00
-4.154173627276487313e-01,7.282719833062265558e-01,6.599999999999999645e+00
-3.506712298193571109e-01,8.292849467900711424e-01,6.599999999999999645e+00
-2.799844629947307872e-01,9.262337039468681033e-01,6.599999999999999645e+00
-2.036114582817906138e-01,1.018769343942946826e+00,6.599999999999999645e+00
-1.218270760245554335e-01,1.106558838400820921e+00,6.599999999999999645e+00
-3.492565168261699271e-02,1.189286239941719225e+00,6.599999999999999645e+00
5.678006345867027405e-02,1.266653819254967450e+00,6.599999999999999645e+00
1.529600278550858339e-01,1.338383136601997370e+00,6.599999999999999645e+00
2.532680974966999843e-01,1.404216043898726785e+00,6.599999999999999645e+00
3.573432716525190567e-01,1.463915613769895874e+00,6.599999999999999645e+00
4.648109920832829145e-01,1.517266992231767642e+00,6.599999999999999645e+00
5.752844910466519135e-01,1.564078171934453865e+00,6.599999999999999645e+00
6.883661832434203598e-01,1.604180683181032796e+00,6.599999999999999645e+00
8.036490966952530846e-01,1.637430200236531963e+00,6.599999999999999645e+00
9.207183374043302893e-01,1.663707060744720856e+00,6.599999999999999645e+00
1.039152582523708013e+00,1.682916696383374378e+00,6.599999999999999645e+00
1.158525596664593094e+00,1.694989973208110401e+00,6.599999999999999645e+00
1.278407765883464053e+00,1.699883440459934114e+00,6.599999999999999645e+00
1.398367643828339890e+00,1.697579486941049653e+00,6.599999999999999645e+00
