#pos.x,pos.y,pos.z
-5.961939566920708700e-01,-3.230333433548765454e-01,6.674202827660526083e+00
-5.729903833034116767e-01,-8.033819137517442255e-02,6.476027785680586568e+00
-8.123381860808569499e-01,1.409382021976255117e-01,6.697271833866963675e+00
-8.950302119524681244e-01,6.888691757674597627e-02,6.787693079002414365e+00
-4.512652959461412872e-01,2.295043282290569198e-01,6.665731529955123413e+00
-6.098586401302974469e-01,4.503010753880846706e-01,6.574465138425872546e+00
-4.264060331209178489e-01,3.022481967865178198e-01,6.837446732246669434e+00
-5.792520504690985561e-01,5.867574583811675515e-01,6.574182767727389631e+00
-5.101305630220859255e-01,7.056114305122157537e-01,6.388945312692618117e+00
-3.656492880936391132e-01,7.398195753014347176e-01,6.426295488998189143e+00
-4.327588150233855346e-01,8.141189014414949021e-01,6.912489887176186620e+00
-3.896418804535202174e-01,1.035062759306177860e+00,6.595536886747362715e+00
-6.879722674248930914e-02,1.019268047559206192e+00,6.422505701983943993e+00
-3.726343852205398627e-02,1.065991978452060840e+00,6.391086116123427807e+00
-9.580795794744371985e-02,1.345909089311855267e+00,6.723083807471943452e+00
1.775333047689597044e-01,1.333259315263582323e+00,6.439121287322762122e+00
1.420914645606633497e-01,1.405876306431125711e+00,6.655450596317941780e+00
2.938390216211234085e-01,1.679277441160931916e+00,6.304539007224163605e+00
4.052066292799779146e-01,1.602071050968824961e+00,6.750285716997431962e+00
4.758435096800156527e-01,1.647685548942522615e+00,6.556896254547320169e+00
8.299981244579318629e-01,1.562848094001778154e+00,6.818818889999079147e+00
8.726379524087175543e-01,1.696586185508027089e+00,6.457585349889886750e+00
9.505402243459127876e-01,1.583997867076532007e+00,6.418110609555521151e+00
1.144894660896734084e+00,1.624246141798119991e+00,6.711931860391455729e+00
1.307234232413685415e+00,1.962682751873912501e+00,6.601211960488741148e+00
1.102654354670189019e+00,1.892644928686716410e+00,6.424212480181511253e+00
1.374615259960800140e+00,1.435509839797199039e+00,6.685190885865467614e+00
1.357935254231461553e+00,1.662236483396845710e+00,6.687455273289960367e+00
1.769207976091372148e+00,1.652509730600403293e+00,6.561043505308513879e+00
1.570419683869638039e+00,1.643266065257857900e+00,6.893479485689711694e+00
1.787011311129640845e+00,1.618729021835749737e+00,6.434911275097149108e+00
1.991057106246832298e+00,1.493303961580839445e+00,6.412721302540429491e+00
2.300020634988972468e+00,1.355073952131810699e+00,6.686098920138699775e+00
2.481104925668390582e+00,1.236855590764032842e+00,6.644500326611565200e+00
2.234407978026482500e+00,1.236674450231335820e+00,6.721432182395371768e+00
2.559988942928196121e+00,1.272918763804906650e+00,6.763823082994174563e+00
2.594545134905558825e+00,1.476087393589102126e+00,6.429944834208751736e+00
2.762151628161452432e+00,9.659333430436871648e-01,6.712068950255199340e+00
2.635857238173528128e+00,1.373085696912341724e+00,6.754832837567121828e+00
2.636296363660986852e+00,9.559890585120403017e-01,6.568146296677538132e+00
2.797528114053537962e+00,1.192207876013540391e+00,6.738476810477019185e+00
3.066383663716532482e+00,7.875643265777104718e-01,6.686832435115650064e+00
3.104239516298915369e+00,8.666771888259106049e-01,6.627959948597598405e+00
3.041910246113052274e+00,7.133737181095874957e-01,6.696600461258060299e+00
3.100418868361022540e+00,3.788512001033840226e-01,6.557921862345669872e+00
3.065701517234437734e+00,6.299754108079234083e-01,6.720178343752124306e+00
3.214096570820171195e+00,3.563714409596571153e-01,6.442582652911371888e+00
3.349879064448971988e+00,1.381054967977306536e-01,6.402209486179666342e+00
3.375990893226310963e+00,1.567079817333163483e-01,6.723309818676853844e+00
3.346410774298103519e+00,1.459041860983283367e-01,6.449477058968732024e+00
3.162281281909375075e+00,-1.886414381044094479e-01,6.762298451943778765e+00
3.221322724260796910e+00,-3.781842535813439987e-01,6.421496281679346829e+00
3.297452221119546945e+00,-3.502115080319541107e-01,6.492977761645454038e+00
3.131911671617598536e+00,-5.009042003896315709e-01,6.769860605003660936e+00
3.218718265591109962e+00,-5.426732196141377251e-01,6.522590596322208611e+00
3.313738781551622825e+00,-5.897191588407955098e-01,6.552605714282415228e+00
3.185849071585405756e+00,-5.683309549387697279e-01,6.658400004646728654e+00
3.169599891448107609e+00,-8.997224304049032950e-01,6.492187073652575968e+00
3.288566813503655872e+00,-9.037687384936436974e-01,6.846054760142374462e+00
2.925468069807800386e+00,-1.090395747550688688e+00,6.543921819367325199e+00
3.048906265196986709e+00,-1.330127305063960597e+00,6.621046141699792997e+00
2.957273906115105877e+00,-1.672812792873142662e+00,6.544223425828190166e+00
2.908292837876027104e+00,-1.750463903445721003e+00,6.582878964338316763e+00
2.822311181263995383e+00,-1.562038874019848977e+00,6.296101613838184896e+00
2.537451589822302012e+00,-1.797542033086141577e+00,6.533851240596151300e+00
2.544454587741311613e+00,-1.625287589061027216e+00,6.593475282720346442e+00
2.170450931865604449e+00,-1.832482044273400223e+00,6.561826538060073766e+00
2.456602917876367531e+00,-1.802305092285621857e+00,6.581155689786125862e+00
2.276531706338377870e+00,-1.696407700223783177e+00,6.440085938136231647e+00
2.168004636129745588e+00,-2.159610596061411147e+00,6.481205338065957555e+00
2.243761602372415620e+00,-2.253032068458403092e+00,6.482534609707415463e+00
2.101239069676360316e+00,-2.069917418319564550e+00,6.725432471752922581e+00
2.014020558390502647e+00,-2.244974943668591294e+00,6.509433272366589307e+00
1.675281581510134288e+00,-2.265510423235699733e+00,6.702311920713993842e+00
1.748909643484204191e+00,-2.249740747404644914e+00,6.601217034875523026e+00
1.511700939821354783e+00,-2.175935284110011914e+00,6.540001484808700916e+00
1.588571657397040982e+00,-2.433331533094496013e+00,6.840371950119746636e+00
1.248100316161648848e+00,-2.239941271025118308e+00,6.358482048892777350e+00
1.130421168474948557e+00,-2.581884250479058007e+00,6.385938290101664805e+00
9.189654859962224087e-01,-2.184221391987183569e+00,6.516644195690811436e+00
7.140644746970763457e-01,-2.320438487602082045e+00,6.754794828225534786e+00
1.042098175002988070e+00,-2.391085522629342375e+00,6.632583668218311246e+00
6.759805560575626870e-01,-2.246229707533538011e+00,6.548367938961532353e+00
6.842063347612790114e-01,-2.413302864697657313e+00,6.578631960615739516e+00
5.676217363628822676e-01,-2.333727223582894528e+00,6.461998013858643475e+00
3.337862138290422220e-01,-2.102211052861814533e+00,6.551022889597237331e+00
3.337498389731704540e-01,-2.081674043540201691e+00,6.691863895022785336e+00
3.089224456404444652e-01,-1.840381338242711662e+00,6.600964937452136638e+00
7.791065635379493259e-02,-1.845184203375308085e+00,6.746860470783839325e+00
-1.468814208819193834e-01,-1.733353660007463048e+00,6.569139274083543256e+00
-1.772518432149233769e-01,-1.807491847806609320e+00,6.399168214344530092e+00
-1.405194630135202238e-01,-1.537886939310634693e+00,6.581503982533892128e+00
-3.046925703700127386e-01,-1.744352300145517010e+00,6.891436692122139718e+00
-4.183400037153642281e-01,-1.485903504474398229e+00,6.638091507345787790e+00
-2.237706572989025255e-01,-1.244185758285148102e+00,6.598771763126004331e+00
-6.342753342309347397e-01,-1.221723757590140957e+00,6.701425923623388847e+00
-3.243769337719107915e-01,-1.150270212813897519e+00,6.728701878298521954e+00
-5.716554606213005707e-01,-1.130363385298432499e+00,6.435042123974215045e+00
-2.931124569729362528e-01,-9.776185642921582097e-01,6.618671020006171801e+00
-6.861166684117754322e-01,-9.068412106254389871e-01,6.693029536888897901e+00
-5.740209563367634216e-01,-8.194591438964528018e-01,6.843849438445325006e+00
-7.388434198082731719e-01,-2.833203024829317185e-01,6.414082127760136309e+00
-4.886566081707680587e-01,-6.108391832962466461e-01,6.888440508736343837e+00
-7.112011535093488712e-01,-3.661775064969630678e-01,6.690342709243734198e+00
-8.254286102948465986e-01,1.987232702022136976e-01,6.576972338833652287e+00
-6.744170005348308905e-01,-1.419270006028377218e-01,6.651703011584915615e+00
-3.349631808270590594e-01,1.435567375315879857e-01,6.565444648974197328e+00
-5.004252936636480742e-01,2.875181607142899276e-01,6.540954592507488563e+00
-7.421478854415057835e-01,2.372256797305214437e-01,6.464208341523905332e+00
-6.733835332992783584e-01,4.503595150929042279e-01,6.611501693238329480e+00
-5.370702043478063903e-01,4.157741964298314885e-01,6.625742772707064354e+00
-6.055528076698488693e-01,7.052465240924544743e-01,6.650270882957027396e+00
-3.288549085194891752e-01,9.723909600830158428e-01,6.277988350229337655e+00
-6.377346275127369069e-01,6.923119134878573666e-01,6.532444996043079044e+00
-7.372733394867031498e-02,8.254148244377995658e-01,6.754454076749285996e+00
-2.502207010413409760e-01,8.282482268954244331e-01,6.623120254741115431e+00
-4.536218678527684789e-01,1.321292019972095222e+00,6.732741264568262274e+00
-1.651034560636452098e-01,1.180072990808693545e+00,6.835753483081371762e+00
-1.559743313933216191e-01,1.198334922704578753e+00,6.369724125869625553e+00
2.957545704607930648e-01,1.324262134630033838e+00,6.665618835721600632e+00
2.920219886612547833e-01,1.225915135444960224e+00,6.597972079063684880e+00
3.330652082347569376e-01,1.286723039966437332e+00,6.296247978779049959e+00
